tweet_id,text,task1,task2,ID
1123682034394832897,"RT @LustyLacroix: ❝Mmm~ Mmmm...❞ 
♡ |-——————| ♡ |——————-| ♡
↳Like to keep fucking her ass.
 ↳RT to cum in her purple hole.
  ↳Both to thrus…",HOF,PRFN,hasoc_2020_en_2186
1123737151739453441,@Budgetapo @TwitchSupport shit corp XD,HOF,PRFN,hasoc_2020_en_4580
1130165572736622598,3 people followed me // automatically checked by https://t.co/kxJWpT4ZxZ,NOT,NONE,hasoc_2020_en_3844
1126941163817095168,"If you're looking for work in #Leavenworth, KS, check out this job: https://t.co/9Qw7L7bRCe #Clerical",NOT,NONE,hasoc_2020_en_3797
1130145612077256705,You never know the truth until it slaps you in the face,NOT,NONE,hasoc_2020_en_3696
1127082406991814656,"RT @7BTSaf: Jimin: ""hey manager wheres my LV belt""
Jungkook: ""manager I WANT MY BANANA MILK""
Me: ""we have to go- ""
Seokjin: ""ya manager whe…",NOT,NONE,hasoc_2020_en_5194
1126795986372825088,"RT @JimMFelton: 2016:
""Brexit will improve your lives""

2019:
""It won't be as bad as that time that 450,000 of us fucking died"" https://t.c…",HOF,HATE,hasoc_2020_en_5342
1126793230702600192,"RT @BPDBanter: If you’re having a bad day, I’m not going to tell you to have a good day. I know it’s not that simple. Instead, I’m gonna te…",NOT,NONE,hasoc_2020_en_3450
1123736661005950976,"RT @RMPICS_twt: « SNL... I mean, I think we did
okay, what do y’all think ? »
                   - Ki(ng)m Namjoon 

#BTSOnE #BBMAs @BTS_tw…",NOT,NONE,hasoc_2020_en_2214
1130320476780322816,I need a friend who’s down with the shits,HOF,PRFN,hasoc_2020_en_1093
1126800444922179585,RT @031KadoeStuntin: I hate my past that shit so ugly,HOF,PRFN,hasoc_2020_en_4133
1130245616859271168,RT @imsadloI: worst part about online shopping is getting up to get my card :/,NOT,NONE,hasoc_2020_en_203
1123762606999785474,"@brandeebabyyy 😌 I can agree to that, and we get along too! Lol",NOT,NONE,hasoc_2020_en_3954
1123642087835144192,"It was obvious from the very beginning he always regarded himself as a maverick, which the PM’s letter also suggest… https://t.co/RIVYzNePq1",NOT,NONE,hasoc_2020_en_2767
1126973283788894209,fuck james charles,HOF,PRFN,hasoc_2020_en_2650
1126851577678057477,"RT @MaryHar92096144: Rt if you'd fuck me😩, Like if you have a big cock for me too💦🍆#schoolgirl #cumslut #cockslut #slut #cumwhore #jailbait…",HOF,PRFN,hasoc_2020_en_3679
1130213920491343873,@tanishiaxo_ ORRRRRR you can come visit and we can go to the beach😂,NOT,NONE,hasoc_2020_en_4875
1123764309853708288,"RT @ReneeCarrollAZ: Just when you think the topic of abortion couldn't get any more vile, Alabama Democratic State Rep John Roberts comes a…",NOT,NONE,hasoc_2020_en_142
1123751311705563137,Rest well,NOT,NONE,hasoc_2020_en_4026
1126883416610365440,"A Mother's Work is Never Done
A mother's earthly work may never be done, but her heavenly work is eternal.… https://t.co/PTdkpJNYg0",NOT,NONE,hasoc_2020_en_3745
1126848394184482816,RT @realDonaldTrump: James Comey is a disgrace to the FBI &amp; will go down as the worst Director in its long and once proud history. He broug…,HOF,HATE,hasoc_2020_en_422
1123625012831899648,Fuck nut😂😂,HOF,PRFN,hasoc_2020_en_3180
1126841591035863042,Fuck the light. https://t.co/GBE3zI6M3l,HOF,PRFN,hasoc_2020_en_2277
1126892707002109952,@LVanroon @LennieMerrick1 @flyraccoonfly @LoveWestley @peterwalker99 @benshapiro You were right about the ‘simple’ bit,NOT,NONE,hasoc_2020_en_1968
1126835303753441280,"Over 100K illegal immigrants apprehended or turned away in April, CBP reveals-Of the nearly 110,000, 10,167 people… https://t.co/GtuMS6kRm2",NOT,NONE,hasoc_2020_en_3774
1130319520495820800,RT @stfuIol: due to personal reasons I won’t be giving a fuck ever again,HOF,PRFN,hasoc_2020_en_3006
1123496943978721281,"RT @PetitCerf: Someone: You’ve been staring off into space, what are you thinking about?

Me: oh, nothing 

My brain: .....,,,.big lapras,,…",NOT,NONE,hasoc_2020_en_1254
1123723121792622593,RT @almostjingo: “This is the third case in less than a year in which a former US intelligence officer has pled or been found guilty of con…,NOT,NONE,hasoc_2020_en_475
